age,annual_income,loan_amount,term_months,credit_score,employment_years,debt_to_income,num_credit_lines,past_delinquencies,loan_purpose,default
59,60776.0,15743.0,36,514.0,2,25.9,3,0,debt_consolidation,0
72,50262.0,22722.0,60,732.0,4,45.21,8,0,debt_consolidation,0
49,25756.0,28169.0,60,675.0,1,109.37,7,0,debt_consolidation,0
35,51507.0,1817.0,48,600.0,2,3.53,8,0,car,0
63,46277.0,14749.0,36,557.0,5,31.87,2,0,home_improvement,0
28,22232.0,7681.0,48,642.0,2,34.55,4,0,debt_consolidation,0
41,69199.0,500.0,48,807.0,3,0.72,4,0,debt_consolidation,0
59,67046.0,14378.0,60,677.0,2,21.44,2,2,car,0
39,22117.0,20180.0,36,606.0,5,91.24,3,0,car,0
43,32244.0,20888.0,72,806.0,1,64.78,4,0,debt_consolidation,0
31,34001.0,10257.0,36,685.0,12,30.17,3,0,debt_consolidation,0
31,57197.0,2906.0,36,687.0,6,5.08,2,1,debt_consolidation,0
44,54895.0,7264.0,36,660.0,2,13.23,3,1,debt_consolidation,0
73,45888.0,500.0,48,676.0,2,1.09,0,0,debt_consolidation,0
56,50477.0,728.0,48,467.0,6,1.44,4,0,debt_consolidation,0
60,19247.0,1769.0,48,651.0,2,9.19,3,1,home_improvement,0
44,52627.0,25144.0,36,696.0,2,47.78,5,1,home_improvement,0
23,42982.0,25133.0,60,751.0,4,58.47,4,2,small_business,0
42,31419.0,40554.0,36,801.0,1,129.07,2,1,car,0
73,14350.0,17884.0,36,717.0,2,124.63,3,2,car,0
22,45539.0,9193.0,48,655.0,0,20.19,2,1,small_business,0
44,52139.0,15144.0,36,645.0,0,29.05,6,0,debt_consolidation,0
64,10950.0,12969.0,48,591.0,2,118.44,4,0,debt_consolidation,0
50,45370.0,7419.0,36,678.0,0,16.35,7,0,debt_consolidation,0
58,47445.0,18839.0,36,779.0,1,39.71,8,0,debt_consolidation,0
22,33915.0,17320.0,36,614.0,2,51.07,4,0,debt_consolidation,0
41,52597.0,14009.0,36,653.0,0,26.63,5,1,debt_consolidation,0
53,42347.0,11469.0,36,590.0,0,27.08,2,0,debt_consolidation,0
32,50663.0,22583.0,36,713.0,0,44.57,8,0,car,0
42,55685.0,8355.0,48,727.0,2,15.0,3,0,home_improvement,0
64,55696.0,10162.0,36,592.0,0,18.25,4,1,debt_consolidation,0
45,65336.0,20701.0,48,681.0,3,31.68,8,0,small_business,0
69,51767.0,27138.0,48,456.0,2,52.42,6,1,other,0
47,35459.0,26042.0,60,621.0,0,73.44,2,0,debt_consolidation,0
62,32044.0,11885.0,60,730.0,0,37.09,2,0,car,0
